SMILES,TITLE,receptor,Chemgauss4
c1cc2c(cc1C[NH3+])nc([nH]2)Cc3[nH]c4ccc(cc4n3)C(=[NH2+])N,SIM-304094-SUR,Not Available,-15.065863
c1ccc2c(c1)c3c([nH]2)[C@@H](N(CC3)C(=O)c4cccnc4)c5c[nH]c6c5cncc6,SIM-267856-SAV,Not Available,-14.614773
c1ccc(cc1)C[C@@H](C(=O)N2CC(C2)C(=O)[O-])NC(=O)c3cc4cc(ccc4[nH]3)Cl,DB03744,Not Available,-14.565523
CC(C)C[C@H](C(=O)[O-])NC(=O)c1cc2cc(ccc2[nH]1)Br,SIM-438356-EMO,Not Available,-14.524820
Cc1ccc2c(c1C)cc([nH]2)C(=O)N[C@H](CC(C)C)C(=O)[O-],T2K-75645,Not Available,-14.463654
c1cc2c(cc1F)cc([nH]2)C(=O)N[C@H](CC3CC3)C(=O)[O-],SIM-79948-EMO,Not Available,-14.435041
c1ccc(cc1)c2ccc(n2NC(=O)c3cc4cc(ccc4[nH]3)Br)c5ccccc5,SIM-438223-SAV,Not Available,-14.413470
Cc1ccc2c(c1C)cc([nH]2)C(=O)N[C@H](CC(F)F)C(=O)[O-],T2K-55085,Not Available,-14.183723
c1cc2c(cc([nH]2)C(=O)N[C@H](C3CC3)C(=O)[O-])c(c1)F,T2K-55700,Not Available,-14.103838
c1cc2c(cc1Br)cc([nH]2)C(=O)N[C@H](C3CC3)C(=O)[O-],SIM-438352-EMO,Not Available,-14.097441
Cc1ccc2c(c1)cc([nH]2)C(=O)NC[C@H]3CCC[N@@H+]3CC(=O)NC(=O)N,SIM-342910-E15,Not Available,-14.059386
CN(C)C(=O)[C@@H]([C@H](Cc1ccccc1)NC(=O)c2cc3cc(ccc3[nH]2)Br)O,SIM-438206-BDB,Not Available,-14.046713
CCOc1ccc(cc1)/C=C(/c2ccccc2)\c3[nH]c4cc(c(cc4n3)C#N)C#N,SIM-485250-SAV,Not Available,-14.028908
c1ccc(cc1)c2ccc(n2NC(=O)c3cc4cc(ccc4[nH]3)F)c5ccccc5,SIM-79826-SAV,Not Available,-13.989422
COc1cc2c([nH]c(c2)C(=O)NC[C@H]3C[C@H](C3)[NH2+]Cc4[nH]nnc4)cc1,T2K-473422,Not Available,-13.916724
c1ccc2c(c1)c3c([nH]2)[C@H](N(CC3)C(=O)c4ccccc4O)c5ccc([nH]5)Br,T2K-389210,Not Available,-13.829777
c1ccc2c(c1)cc([nH]2)C(=O)N[C@H](C3CC3)C(=O)[O-],T2K-74975,Not Available,-13.798641
c1ccc2c(c1)cc([nH]2)C(=O)N[C@H](CC3CC3)C(=O)[O-],T2K-92499,Not Available,-13.786673
CCOc1ccc(cc1)/C=C(/c2ccccc2)\c3[nH]c4cc(ccc4n3)C#N,SIM-485234-SAV,Not Available,-13.783627
c1cc(sc1)c2ccc(n2NC(=O)c3cc4cc(ccc4[nH]3)Br)c5cccs5,SIM-74786-SAV,Not Available,-13.774332
CC(C)[C@H](C(=O)[O-])NC(=O)c1cc2ccc(cc2[nH]1)Cl,T2K-55601,Not Available,-13.758295
c1ccc2c(c1)cc([nH]2)[C@@H]3c4c(c5ccccc5[nH]4)CCN3C(=O)CC#N,SIM-409290-SAV,Not Available,-13.749457
CCCC[C@H](C(=O)[O-])NC(=O)c1cc2c([nH]1)cccc2F,T2K-93673,Not Available,-13.739738
CN(C)C(=O)[C@@H]([C@H](Cc1ccccc1)NC(=O)c2cc3cc(ccc3[nH]2)Cl)O,L1K=2603,Not Available,-13.730128
c1cc(cc2c1cc[nH]2)Cc3[nH]c4ccc(cc4n3)C[NH3+],SIM-9732-SAV,Not Available,-13.724063
Cc1ccc(c2c1cc([nH]2)C(=O)NC3CN(C3)C(=O)c4ccc[nH]4)F,T2K-468925,Not Available,-13.712498
CS(=O)(=O)Nc1nc2c(s1)CN(CC2)C(=O)c3cc4cc(ccc4[nH]3)F,EDB=294445,Not Available,-13.705162
c1c(cc2c(c1)[nH]c(c2)C(=O)NC[C@H]3CC[C@@H](CC3)C[NH3+])F,SIM-79837-ZIN,Not Available,-13.696881
c1ccc(cc1)C[C@@H](C(=O)N2CCC(CC2)O)NC(=O)c3cc4cc(ccc4[nH]3)F,SIM-79806-BDB,Not Available,-13.696816
c1ccc(cc1)c2ccc(n2NC(=O)c3cc4c([nH]3)ccs4)c5ccccc5,SIM-80237-SAV,Not Available,-13.680470
Cc1ccc2c(c1)[nH]cc2CCNC(=O)c3cc4cc(cc(c4[nH]3)F)F,SIM-22655-E15,Not Available,-13.678843
C[C@H]1C(=N[C@H](O1)c2cccs2)C[N@H+]3CCC[C@@H](C3)CNC(=O)c4cc5ccccc5[nH]4,DUD=91600,Not Available,-13.673846
c1cc2c(cc1N)cc([nH]2)C(=O)NC[C@H]3CCCC[C@H]3O,T2K-256781,Not Available,-13.664979
c1cc(c2c(c1)[nH]c(n2)[C@@H]3CCC[N@@H+](C3)Cc4c[nH]c5c4cccn5)C(=O)Nc6ccc(cc6)Cl,SIM-203219-SAV,Not Available,-13.641680
c1ccc(cc1)CCCCNC(=O)c2cc3cc(ccc3[nH]2)O,SIM-489188-SUR,Not Available,-13.624517
c1ccc2c(c1)[nH]c(n2)C[N@@H+](Cc3ccc(cc3)C[NH3+])[C@@H]4CCCc5c4nccc5,DUD=81528,Not Available,-13.606346
CSC[C@H](C(=O)[O-])NC(=O)c1cc2ccc(cc2[nH]1)Br,SIM-438577-E15,Not Available,-13.591248
COc1cccc(c1)NC(=O)NCc2cccc(c2)c3cccc(c3O)c4cc5cnccc5[nH]4,SIM-319865-BDB,Not Available,-13.590822
Cc1ccc2c(c1)c(c([nH]2)C(=O)N[C@](C)(C3CC3)C(=O)[O-])C,T2K-55220,Not Available,-13.589357
c1cc2c(cc1F)cc([nH]2)C(=O)NCC3[C@@H]4[C@@H]3C[NH+](C4)C/C=C/Cl,SIM-80154-E15,Not Available,-13.581429
c1cc2c(cc1CNC(=O)C[C@H]3CCC=C3)[nH]c(=O)[nH]2,T2K-221805,Not Available,-13.565938
CC(C)[C@H](C(=O)[O-])NC(=O)c1cc2cc(ccc2[nH]1)Br,SIM-438350-EMO,Not Available,-13.556286
CC(C)[C@H](C(=O)[O-])NC(=O)c1cc2cc(ccc2[nH]1)Br,SIM-438351-EMO,Not Available,-13.556286
c1ccc(c(c1)C[NH3+])C[N@H+](Cc2[nH]c3ccccc3n2)[C@@H]4CCCc5c4nccc5,DUD=81518,Not Available,-13.547762
Cc1ccc(cc1)CC(=O)N2C[C@@H](C3(C2)CC[NH2+]CC3)C(=O)NCCc4c[nH]c5c4cc(cc5)OC,DUD=92368,Not Available,-13.543404
CC1(Cc2c(cc(n2NC(=O)c3cc(c[nH]3)Cl)c4ccc(cc4)F)C(=O)C1)C,SIM-78132-SAV,Not Available,-13.534624
c1ccc2c(c1)cc([nH]2)C[N@H+]3CCOc4c(cc(cc4O)c5cccnc5)C3,T2K-521613,Not Available,-13.496898
Cc1ccc2c(c1)c(c([nH]2)C(=O)N3C[C@H]4C[NH+](C[C@H]4C3)C)C,SIM-472382-SUR,Not Available,-13.481758
C[C@@]12CC3C[C@@](C1)(CC(C3)(C2)C(=O)NCc4ccc5c(c4)[nH]c(=O)[nH]5)C,T2K-75401,Not Available,-13.480276
c1cc(cc(c1)c2cccc(c2O)c3cc4cnccc4[nH]3)CNC(=O)Nc5ccsc5,SIM-491944-BDB,Not Available,-13.472089
COc1ccc(cc1)/C=C(/c2ccccc2)\c3[nH]c4cc(c(cc4n3)C#N)C#N,SIM-485235-SAV,Not Available,-13.437363
C[C@H](c1ccc2c(c1)[nH]c(=O)[nH]2)[NH2+]Cc3ccc(cc3)F,EDB=132784,Not Available,-13.405962
c1cc([nH]c1)Cc2ccc([nH]2)[C@@H]3c4cc(c(cc4C[C@@H](N3C=O)C(=O)[O-])Cl)Cl,T2K-381118,Not Available,-13.385880
c1cc2c(cc1F)cc([nH]2)C(=O)NC3(CCC3)C(=O)[O-],T2K-55309,Not Available,-13.385353
CCC[C@](C)(C(=O)[O-])NC(=O)c1cc2ccc(cc2[nH]1)C,T2K-55814,Not Available,-13.382435
c1cc(sc1)c2ccc(n2NC(=O)c3cc4cc(ccc4[nH]3)F)c5cccs5,SIM-81508-SAV,Not Available,-13.366968
c1cc2c(cc1N)cc([nH]2)C(=O)NC[C@@H]3CCC[C@H]3CO,T2K-257838,Not Available,-13.365092
Cc1ccc2c(c1C)cc([nH]2)C(=O)N[C@H](C3CC3)C(=O)[O-],T2K-55175,Not Available,-13.364773
c1cc2c(cc1F)cc([nH]2)C(=O)NCC3CCCCC3,SIM-79839-ZIN,Not Available,-13.359779
c1ccc2c(c1)cc([nH]2)C(=O)N3CCC(CC3)Nc4ccc(cc4)CC[NH3+],SIM-83769-SUR,Not Available,-13.348804
c1ccc2c(c1)C3C[C@@H](C2c4c3cccc4)CNC(=O)CCc5[nH]c6ccccc6n5,SIM-306364-E15,Not Available,-13.336880
c1ccc(cc1)c2c(c(n(c2O)CCNC(=O)c3c(cccn3)O)O)c4ccccc4,SIM-414745-SAV,Not Available,-13.327417
c1cc2c(cc1N)cc([nH]2)C(=O)NCc3ccn[nH]3,T2K-282372,Not Available,-13.323730
c1ccc2c(c1)c3c([nH]2)[C@@H](N([C@@H](C3)C(=O)[O-])C(=O)C4CC4)c5ccc6c(c5F)cc[nH]6,T2K-388891,Not Available,-13.317239
Cc1cc([nH]c1/C=C\2/C(=CC(=N2)c3cc4ccccc4[nH]3)OC)C,DB12191,Not Available,-13.310484
c1ccc(cc1)[C@H](C(=O)N2CCOCC2)[NH2+]C[C@@H](c3cccs3)c4c[nH]c5c4cccc5,EDB=13284,Not Available,-13.279716
c1ccc(cc1)Cn2c3c(cn2)[C@@H](CCC3)NC(=O)CCCNC(=O)NC4CCCCC4,EDB=54846,Not Available,-13.272947
c1ccc2c(c1)[nH]c(n2)SCc3ccc(cc3)C(=O)NCCCCC(=O)[O-],SIM-56325-ZIN,Not Available,-13.272655
CCc1ccc([nH]1)C(=O)NCc2ccc3c(c2)[nH]c(=O)[nH]3,T2K-79025,Not Available,-13.270761
c1cc2c(cc1O)cc([nH]2)C(=O)c3cc4cc(ccc4[nH]3)O,T2K-205704,Not Available,-13.256100
c1ccc(cc1)C[C@@H]([C@H](C(=O)[O-])NC(=O)c2cc3cc(ccc3[nH]2)Br)O,SIM-438397-SUR,Not Available,-13.252121
c1cc2c(cc([nH]2)C(=O)N[C@H](CC3CC3)C(=O)[O-])c(c1)F,T2K-278375,Not Available,-13.248503
CC(C)Nc1cccc(c1)CNC(=O)c2cc3cc(ccc3[nH]2)F,T2K-209372,Not Available,-13.233435
Cc1ccc2cc([nH]c2c1)C(=O)c3cc4cc(ccc4[nH]3)O,SIM-300127-BDB,Not Available,-13.231339
c1ccc2c(c1)c(c[nH]2)CC(=O)OCc3ccc4c(c3)nn[nH]4,T2K-472594,Not Available,-13.230032
