SMILES,TITLE,receptor,Chemgauss4
CC(C)c1ccc2cc([nH]c2c1)C(=O)NCc3[nH]nc(n3)COc4ccccc4,SIM-250981-E15,Not Available,-17.003904
Cc1cc(c2cc([nH]c2c1)C(=O)NCc3[nH]nc(n3)c4ccc(cc4)OC)C,T2K-257355,Not Available,-16.933233
CC(C)c1nc([nH]n1)c2ccccc2NC(=O)c3ccc(nc3)CO,SIM-137573-ENA,Not Available,-16.794794
c1ccc(cc1)c2nc([nH]n2)CNC(=O)c3cc4cc(c(cc4[nH]3)Cl)Cl,SIM-352538-E15,Not Available,-16.788486
c1ccc2c(c1)cc([nH]2)C(=O)NCc3[nH]nc(n3)c4ccccn4,T2K-446388,Not Available,-16.749243
COc1ccc(cc1)c2nc([nH]n2)CNC(=O)c3cc4ccc(cc4[nH]3)Br,T2K-258385,Not Available,-16.746416
Cc1cnc(cn1)C(=O)Nc2ccccc2c3[nH]nc(n3)c4ccccc4,EDB=92581,Not Available,-16.649363
CC(C)c1nc([nH]n1)c2ccccc2NC(=O)c3ccc(nc3)C(=O)[O-],SIM-137344-ZIN,Not Available,-16.529114
CC(=O)c1cc([nH]c1)C(=O)NCc2[nH]nc(n2)c3ccccn3,SIM-22244-E15,Not Available,-16.509405
CCCCN1[C@@H](c2c(n[nH]c2C1=O)c3ccccc3O)c4ccc(c(c4)OCC)O,EDB=23185,Not Available,-16.354069
C[C@@H](C(=O)NCCc1ccc2ccccc2n1)NC(=O)c3c4ccccc4n[nH]3,SIM-421286-ENA,Not Available,-16.317059
c1ccc(cc1)c2nc([nH]n2)c3ccccc3NC(=O)c4cnccn4,EDB=148959,Not Available,-16.253769
CCCN1[C@@H](c2c(n[nH]c2C1=O)c3cc(ccc3O)C)c4cccc(c4)OC,EDB=176998,Not Available,-16.252817
c1ccc(c(c1)NC(=O)c2cc([nH]n2)c3ccccn3)F,T2K-213433,Not Available,-16.234632
c1ccc(cc1)c2csc3c2c(ncn3)SCc4[nH]c5c(n4)cncn5,SIM-259889-SAV,Not Available,-16.200811
c1cc2ccc(cc2c(c1)NC(=O)c3ccnc4c3nn[nH]4)O,T2K-453839,Not Available,-16.105057
