SMILES,TITLE,receptor,Chemgauss4
Cc1c([nH]c2c1c(ncn2)NC(=O)[C@@H](C)SCc3[nH]c(=O)c4ccccc4n3)C,SIM-32751-E15,Not Available,-13.850678
c1cc2c(cc1C(=O)n3c4cc(n3)-c5cc(ccc5O4)F)non2,T2K-359470,Not Available,-13.409749
c1ccc(cc1)CC[C@H](O)[C@H]2C[C@H](C2)CCNc3ncnc4c3cn[nH]4,SIM-166881-SUR,Not Available,-13.119260
c1cc(ncc1Cl)NC(=O)[C@@H]2CCCN(C2)C(=O)c3c4cc[nH]c4ncn3,SIM-263903-ENA,Not Available,-12.835810
Cc1c(nc([nH]1)[C@H]2CCC[N@H+]2CC(=O)Nc3ccc4c(c3)NC(=O)CO4)c5ccccc5,SIM-305949-E15,Not Available,-12.783701
c1ccc(cc1)C[N@@H+]2CC[C@@H](C2)Oc3cc4cc[nH]c4nc3,SIM-165202-SUR,Not Available,-12.755759
c1ccc(cc1)C[N@@H+]2CC[C@@H](C2)Oc3cc4cc[nH]c4nc3,SIM-165201-SUR,Not Available,-12.755759
c1c(cncc1Br)O[C@H]2CC[N@H+](C2)Cc3[nH]nc(n3)O,T2K-471392,Not Available,-12.696948
Cc1c(sc2c1c(ncn2)Sc3ccccc3C(=O)Nc4ccc(cc4)C#N)C,EDB=72987,Not Available,-12.675318
c1ccc(cc1)CC[C@@]2(CCCN(C2)c3c4cc[nH]c4ncn3)CO,SIM-157417-MOS,Not Available,-12.626970
c1c(cc(cc1NC(=O)CCSc2c3c([nH]cn3)ncn2)F)c4n[n-]nn4,T2K-483807,Not Available,-12.583415
CCc1nc(no1)C[N@@H+]2CCC[N@@](CC2)c3c4cc[nH]c4ncn3,SIM-151124-MOS,Not Available,-12.565506
C=CCCC(=O)NC[C@H]1CN(C[C@@H]1O)C(=O)c2cc3c([nH]nn3)nc2,T2K-443710,Not Available,-12.533582
CN(Cc1[nH]c(=O)c2c(n1)ccs2)C(=O)CCCc3nc(no3)c4ccc(cc4)F,EDB=77832,Not Available,-12.531528
C[C@@]12CC3C[C@@](C1)(CC(C3)(C2)C#Cc4cc(ccc4C(=O)[O-])C(=O)[O-])C,T2K-426057,Not Available,-12.517459
c1ccc(cc1)c2c(c3ccccc3[nH]2)C(=O)CSc4nc(nc(n4)N)N,EDB=120141,Not Available,-12.497825
c1ccc(cc1)c2c[nH]c([nH+]2)[C@H]3CCC[N@H+](C3)Cc4ccn[nH]4,T2K-522093,Not Available,-12.479504
c1ccc(cc1)C#Cc2cc(sc2)COc3c4c([nH]cn4)nc(n3)N,SIM-304765-SAV,Not Available,-12.462952
c1cc(ccc1OCCCCNc2c3cn[nH]c3ncn2)F,SIM-52986-ZIN,Not Available,-12.428331
c1ccc(cc1)c2c[nH]c3c2n4c([nH]c3=O)n[nH]c4=O,T2K-75692,Not Available,-12.395584
c1cc2c(cc1CCC3CCCCC3)[C@H]([NH2+]CC2)c4cncc5c4[nH]nc5Cl,T2K-380130,Not Available,-12.382981
c1c[nH]c2c1c(ncn2)[N@]3CCC[C@@]4(C3)CCCN4C(=O)NCC#N,SIM-157466-BDB,Not Available,-12.381582
Cc1[nH]nc(n1)[C@@H](C)NC(=O)c2cc(n[nH]2)c3ccc(cc3)OC,T2K-500969,Not Available,-12.378448
c1[nH]c2c(n1)c(ncn2)[N@@]3CCC[C@H](C3)c4[nH]c5c(n4)c(nc(n5)O)N,SIM-478110-SAV,Not Available,-12.352226
c1cc(ccc1OC[C@@H](C[N@@H+]2CCC[C@@H]2c3[nH]c4c(n3)CCCC4)O)F,EDB=295117,Not Available,-12.309884
c1ccnc(c1)CO[C@H]2CCC[N@](C2)c3c4cc[nH]c4ncn3,SIM-272404-MOS,Not Available,-12.304090
c1cc2c(cc1Cl)[nH]cc2CCNc3c4cn[nH]c4ncn3,SIM-51101-ENA,Not Available,-12.289713
CN(c1c(nc(nc1N)c2c3cccnc3n(n2)Cc4ccccc4F)N)C(=O)OC,DB08931,Not Available,-12.274530
c1cc(ccc1CNc2c3cn[nH]c3ncn2)N4CCCCC4=O,SIM-58413-ZIN,Not Available,-12.271730
Cc1ccc(c(c1)c2c3ccccc3c(=O)n(n2)CC(=O)N[C@@H]4CCS(=O)(=O)C4)C,EDB=128215,Not Available,-12.264487
