SMILES,TITLE,receptor,Chemgauss4
c1cc(c(cc1c2cncnc2)F)C(=O)NS(=O)(=O)c3cc(ccc3Cl)[N+](=O)[O-],T2K-107501,PLPro_1,-17.105148
Cc1ccc(cc1C(=O)NCc2cccc3c2[nH]cc3)C(=O)OC,SIM-474259-E15,PLPro_1,-17.098351
c1cc([nH]c1)CC(=O)N[C@H]2CCC[N@](C2)c3cccnn3,SIM-201488-MOS,PLPro_1,-16.894382
c1ccc2c(c1)c(cc(=O)[nH]2)CNC(=O)N[C@H]3CCc4c3cccc4O,T2K-229236,PLPro_1,-16.875357
C[C@H](C1CN(C1)C(=O)CNC(=O)N)NC(=O)c2cc(c[nH]2)Cl,T2K-475666,PLPro_1,-16.875233
c1cc2c(ccc(c2F)C(=O)N[C@H]3CCC[N@@H+](C3)CC(=O)N)nc1,SIM-180494-E15,PLPro_1,-16.797688
c1c(cnc2c1nn[nH]2)C(=O)N[C@H]3CCC[N@@H+](C3)CCO,T2K-444070,PLPro_1,-16.764584
Cc1c(c(=O)[nH]c(=O)[nH]1)CCC(=O)N[C@H](C)c2cccc3c2cccc3,EDB=213813,PLPro_1,-16.741339
c1cc(cc2c1cc[nH]2)C[N@@H+]3CC[C@H](C3)c4ccn[nH]4,T2K-79203,PLPro_1,-16.663858
CCc1ccc([nH]1)C(=O)NCc2ccc3c(c2)[nH]c(=O)[nH]3,T2K-79025,PLPro_1,-16.624990
CC[N@H+]1CCC[C@@H]1CNC(=O)c2cccc3c2cccn3,EDB=190694,PLPro_1,-16.605293
C[N@H+]1CCc2c(c3cc(ccc3[nH]2)C(=O)NCC[N@H+]4CC[C@@H](C4)O)C1,T2K-444547,PLPro_1,-16.562952
C[N@H+]1Cc2ccccc2[C@@H](C1)NC(=O)c3cccn4c3n[nH]c4=O,EDB=290659,PLPro_1,-16.561300
c1cc(cc(c1)NC(=O)c2cc(c[nH]2)Cl)c3ccn[nH]3,SIM-145251-MOS,PLPro_1,-16.523943
c1cc(cc(c1)Cl)[C@H](CNC(=O)c2cccc3c2cc[nH]3)[NH+]4CCCC4,EDB=178656,PLPro_1,-16.486040
CC[N@H+]1CCC[C@@H]1CNC(=O)c2ccccc2F,EDB=120011,PLPro_1,-16.442139
c1ccc2c(c1)[C@H](CCO2)NC(=O)C[N@@H+]3[C@@H]4CCCC[C@H]4C[C@H]3C(=O)[O-],T2K-250768,PLPro_1,-16.412935
Cc1ccc(cc1C(=O)NC[C@@H](c2ccccc2Cl)[NH+](C)C)S(=O)(=O)NC3CC3,EDB=167503,PLPro_1,-16.387386
C[NH+](C)[C@@H](CNC(=O)c1cc2ccccc2cc1O)c3ccccc3,EDB=44994,PLPro_1,-16.238323
Cc1ccc(cc1)[C@H](CNC(=O)c2ccc3c(n2)[nH]c(n3)O)O,T2K-473087,PLPro_1,-16.225445
Cc1c(cccn1)C(=O)NCc2cc(cc3c2[nH]c(=O)c(=O)[nH]3)Br,SIM-426473-BDB,PLPro_1,-16.191240
Cc1c(c(n(n1)C)n2cccn2)C(=O)NC[C@H]3c4ccccc4CC[NH2+]3,EDB=307187,PLPro_1,-16.165739
c1c(cnc2c1nn[nH]2)C(=O)N[C@@H]3CCC[N@H+](C3)CCO,T2K-444069,PLPro_1,-16.161695
c1cc(cc(c1)NCc2ccc[nH]2)c3ccn[nH]3,T2K-78229,PLPro_1,-16.140434
c1cc2c(csc2cc1)CNC(=O)N[C@H]3CC[C@H](CC3)CO,EDB=86739,PLPro_1,-16.109119
c1ccc(cc1)CCNC(=O)c2ccc3c(c2)[nH]c(=O)c4c3cncc4,T2K-230025,PLPro_1,-16.051802
c1c(c(n[nH]1)C(=O)N[C@H]2CCC[N@@H+](C2)CC(=O)N)Br,T2K-465420,PLPro_1,-16.043718
c1cc(c2cn[nH]c2c1)C(=O)N[C@H]3CCC[C@H]4CC[N@@H+]4C3,SIM-485825-SUR,PLPro_1,-16.043015
c1cc(c(nc1)O)C(=O)N[C@H]2CCC[N@@H+](C2)CC(=O)N,SIM-180391-ENA,PLPro_1,-16.018225
c1cc([nH]c1)C(=O)NCCCc2c[nH]c([nH+]2)N,SIM-222264-SUR,PLPro_1,-16.002798
c1cc2cccnc2c(c1)CCNC(=O)c3cccc4c3OCC(=O)N4,EDB=266677,PLPro_1,-15.989973
COC[C@H](C#Cc1cccc(c1)c2cc(n[nH]2)C(=O)NN)[NH3+],SIM-134382-SAV,PLPro_1,-15.988300
c1cc2c(cc1C(=O)NCCc3[nH]c4ccc(cc4n3)F)cn[nH]2,SIM-120114-SAV,PLPro_1,-15.976824
c1cc2cc(ccc2nc1)C[N@@H+]3CC[C@H](C3)c4ccn[nH]4,T2K-78674,PLPro_1,-15.967661
c1cc2cc[nH]c2c(c1)CNC(=O)c3cc4cc(ccc4[nH]c3=O)F,T2K-473701,PLPro_1,-15.932804
C[N@H+]1CCC[C@@H]1CNC(=O)c2cc(ncc2Cl)Cl,T2K-281400,PLPro_1,-15.915491
Cc1cc([nH]c1)C(=O)NCCNC(=[NH2+])CC[NH3+],SIM-22129-G17,PLPro_1,-15.893490
Cn1c(cc2ccccc2c1=O)C(=O)N[C@@H]3C[N@H+](Cc4c3cccc4)C,EDB=289867,PLPro_1,-15.884409
c1cc(ncc1[C@H]2[C@@H](CCO2)NC(=O)c3c(cc[nH]3)C4CC4)O,SIM-376159-ZIN,PLPro_1,-15.884106
CC[NH+](CC)[C@@H](CNC(=O)CCc1c([nH]c(=O)[nH]c1=O)C)c2ccsc2,DUD=93735,PLPro_1,-15.874172
C[C@@H](C/[NH+]=C/N)[C@H](CO)NC(=O)c1ccc[nH]1,SIM-24644-G17,PLPro_1,-15.871866
Cc1c(c(=O)[nH]c(=O)[nH]1)CCC(=O)N[C@H](C)c2cccc(c2)Cl,EDB=22458,PLPro_1,-15.870008
CC[C@@H](C)[N@H+](C)CCNC(=O)CCc1c(c(c(=O)[nH]c1C)C#N)C,DUD=39683,PLPro_1,-15.861452
c1cc(c(cc1N)Cl)C(=O)NCC[NH+]2CCCC2,T2K-274206,PLPro_1,-15.844711
CC[N@H+]1CCC[C@@H]1CNC(=O)c2cc(c(cc2OC)N)S(=O)(=O)CC,DB06288,PLPro_1,-15.831192
COc1cc(c(cc1O)C(=O)NCC[NH2+]CCO)Br,T2K-448247,PLPro_1,-15.828087
COc1cc2c(cc1C(=O)NC[C@H]3CCC[N@@H+]3CC=C)n[nH]n2,DB01425,PLPro_1,-15.827072
c1ccc2c(c1)cc([nH]2)CNC(=O)NC3CCC(CC3)C(=O)[O-],T2K-51744,PLPro_1,-15.825026
Cc1ccc(cc1C(=O)N[C@H](C)c2cccc3c2cccc3)N,DB08656,PLPro_1,-15.823758
CC[N@H+]1CCC[C@@H]1CNC(=O)c2c(ccs2)n3cccc3,EDB=180378,PLPro_1,-15.819908
CC[N@H+]1CCC[C@@H]1CNC(=O)c2cnn(c2C(F)(F)F)c3ccccc3,EDB=106663,PLPro_1,-15.797094
c1cc2c(cc1Br)c(c([nH]2)C(=O)N[C@H]3CCC[N@@H+](C3)CC(=O)N)F,SIM-280773-E15,PLPro_1,-15.791830
CC[N@H+]1CCC[C@@H]1CNC(=O)c2ccc(cc2O)OC,EDB=120811,PLPro_1,-15.791057
Cc1cc(c2c(=O)[nH]n(c2n1)C)C(=O)NCCc3ccccc3OC,EDB=179864,PLPro_1,-15.775948
Cc1ccc(c(c1)C)c2[nH]c(nn2)Cc3[nH]c(=O)c4c(c(sc4n3)C)C,SIM-75541-E15,PLPro_1,-15.775940
CC(=O)Nc1ccc(c(c1)C(=O)N[C@H](CO)c2ccccc2)Cl,EDB=157980,PLPro_1,-15.775146
CC[N@H+]1CCC[C@@H]1CNC(=O)c2cc(ccc2OC)S(=O)(=O)CC,DB13273,PLPro_1,-15.761058
Cc1ccc(c(=O)[nH]1)C(=O)N[C@H]2CCC[N@@H+](C2)CC(=O)N,EDB=89932,PLPro_1,-15.758789
C[C@H](c1cccc(c1)Cl)NC(=O)NCCCc2c(c([nH]n2)N)C#N,SIM-303027-MOS,PLPro_1,-15.740635
Cc1ccc(cc1)Cn2c(c(c(n2)C)C(=O)NC[C@H](Cc3ccccc3)[NH+](C)C)Cl,DUD=68280,PLPro_1,-15.735673
Cc1c([nH]c(c1C(=O)OC)C)C[NH2+]Cc2c[nH+]c3n2CCCC3,SIM-341657-E15,PLPro_1,-15.722160
